ID,NAME,COMPANY,THUMBNAIL,DESCRIPTION,TAGS
1,White Sandwich Bread,Udis Gluten Free,http://udisglutenfree.com/wp-content/uploads/products/1477.jpg,The bread that started it all is now a customer favorite. Our signature light and fluffy white sandwich bread is made with all natural ingredients without added fillers. Reward yourself during your next meal and enjoy the luxury of bread again.,"bread, white bread, sandwich, all natural"
2,Cinnamon Raisin Bread,Udis Gluten Free,http://udisglutenfree.com/wp-content/uploads/products/1568.jpg,"Sliced for your enjoyment, our cinnamon raisin bread compliments any breakfast table. Warm in the oven or toaster or enjoy straight from the bag for a slice of cinnamon goodness.","cinnamon raisin, cinnamon, raisin, breakfast, bread"
3,Whole Grain Hamburger Buns,Udis Gluten Free,http://udisglutenfree.com/wp-content/uploads/products/1575.jpg,"Grilling in the backyard is now delicious, nutritious and gluten free. Loaded with 6 grams of fiber, these hamburger buns come fully equipped with the right nutrients to accompany a savory sandwich or classic burger.","hamburger, bun, bread, fiber, whole grain"
4,Classic Hamburger Buns,Udis Gluten Free,http://udisglutenfree.com/wp-content/uploads/products/1569.jpg,"Grilling in the backyard has never tasted so good -- and its gluten free! Our soft, golden buns accompany your much-loved ingredients, be it a classic burger or a savory deli sandwich.","hamburger, bun, bread"
5,Classic Hot Dog Buns,Udis Gluten Free,http://udisglutenfree.com/wp-content/uploads/products/1567.jpg,"Were making BBQs gluten free and delicious! Our soft and savory hot dog buns provide the perfect match for a classic hot dog, Philly cheesesteak or anything else your heart desires.","hot dog, bun, bread"
6,Classic White Bread,Schar,http://www.schar.com/smartedit/images/produkte/classic_white_bread.jpg,"Classic white sliced bread. Now even softer and better tasting. The ideal basis for hearty toasts, tasty sandwiches, or party snacks.","white bread, bread, sandwiches, low fat, no preservatives"
7,Ciabatta Parbaked Rolls,Schar,http://www.schar.com/smartedit/images/produkte/ciabatta.png,"A taste from Italy fresh from the oven! Our award-winning heat and serve ciabatta rolls are not only light, fluffy and delicious, they are also a good source of fiber. Enjoy with confidence!","fiber, low fat, no cholesterol, no preservatives, bread, ciabatta"
8,Baguettes,Schar,http://www.schar.com/smartedit/images/produkte/baguettes.jpg,Gluten-free baguettes,"low fat, no cholesterol, no saturated fat, no preservatives, bread, baguette"
9,Gluten Free Rice Krispies,Kelloggs,http://thericeoflife.files.wordpress.com/2011/07/gluten-free-rice-krispies.jpg,"Rice Krispies® Gluten Free cereal is made with whole-grain brown rice and eliminates barley malt (the source of gluten in the original Rice Krispies® cereal). It is produced in a separate facility, and each batch is tested to ensure its gluten-free status. You can find Rice Krispies® Gluten Free cereal in the cereal aisle, right alongside the original Rice Krispies® cereal, and at the same price, too! So your kids can enjoy a bowlful for breakfast, and they won’t miss out on the timeless taste of homemade Rice Krispies Treats® marshmallow squares.","brown rice, breakfast, cereal, rice, rice krispies"
10,Rice Chex,General Mills,http://omgtoptens.com/wp-content/uploads/2012/09/rice_chex.jpg,"Honey Nut Chex®, Chocolate Chex®, Cinnamon Chex®, Apple Cinamon Chex®, Rice Chex®, and Corn Chex® are all gluten free. And not only are they gluten free, but each gluten free variety also has more than 8 grams of whole grain per serving, and less than 10 grams of sugar.","rice, chex, cereal, breakfast"
