Timestamp,Please mark how important each attribute is to you when rating a GF grocery product [Texture],Please mark how important each attribute is to you when rating a GF grocery product [Taste],Please mark how important each attribute is to you when rating a GF grocery product [Price],Please mark how important each attribute is to you when rating a GF grocery product [Quality],Please mark how important each attribute is to you when rating a GF grocery product [GF Reliability],What else is important to you when deciding to buy a GF grocery product?,Please mark how important each attribute is to you when rating a restaurant [Speed],Please mark how important each attribute is to you when rating a restaurant [Server's GF knowledge],Please mark how important each attribute is to you when rating a restaurant [Price],Please mark how important each attribute is to you when rating a restaurant [Overall Quality],Please mark how important each attribute is to you when rating a restaurant [GF Menu Variety],Please mark how important each attribute is to you when rating a restaurant [GF Reliability],Please mark how important each attribute is to you when rating a restaurant [Location/Distance from you],What else is important to you when deciding to eat out at a restaurant?,Please mark how important each of these features are to you [Bookmark products/restaurants],Please mark how important each of these features are to you [Search by ratings],Please mark how important each of these features are to you [Search near you],Please mark how important each of these features are to you [Mark helpful reviews],Please mark how important each of these features are to you [Ability to favorite restaurants],What other features would you like to see in the website?,Gender (Optional),Age (Optional),Reason for GF Diet (Optional)
3/1/2013 10:48:31,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,Easy to prepare,Don't care,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Extremely important,,,Extremely important,Extremely important,Extremely important,Somewhat important,,,Female,20,Celiac
3/1/2013 12:08:34,Somewhat important,Extremely important,Somewhat important,Somewhat important,Extremely important,If it something I can get reliable at a given store or not,Don't care,Somewhat important,Somewhat important,Somewhat important,Extremely important,Extremely important,,I like to be able to have some idea of what is on the GF menu before hand so I often look for the menu to be posted online in some manner.    ,Somewhat important,Somewhat important,Extremely important,Don't care,,Some sort of recipe exchange. Something that can tie into a grocery list app or make its own list.    ,Female,,celiacs
3/1/2013 13:38:09,Don't care,Somewhat important,Somewhat important,Somewhat important,Extremely important,I like to pay specific attention to how processed the food is. ,Somewhat unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Don't care,Extremely important,,"People don't understand how important it is to remain gluten-free, especially when dealing with Celiac's disease. Any trace of gluten products will make me sick for the rest of the day (sometimes longer), and not only are people insensitive to the topic, but they generally do not have any comprehension on how serious it can be. ",Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,M,22,Diagnosed with Celiac's disease one year ago. 
3/1/2013 14:48:50,Don't care,Extremely important,Extremely important,Somewhat important,Extremely important,Shelf life,Somewhat important,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,,Manager and kitchen staff's knowledge. Proving they know how careful they need to be means a lot. I once traveled to Philly and saw a restaurant that said they had gluten free bread for philly cheese steaks. When I got there I saw they were cutting the bread on the same board with the same knife. Some places will take the croutons off the salad and serve the salad back. A lot of people don't know how careful they need to be so reviews are very important when I decide in particular about how careful the staff is.,Somewhat important,Don't care,Extremely important,Somewhat important,,"Search by type of food
Recipes",Female,20,Celiac (I currently use Find Me Gluten Free for a GF app)
3/1/2013 15:58:30,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Female,48,Celiac Disease
3/1/2013 16:02:25,Don't care,Extremely important,Extremely important,Extremely important,Extremely important,,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,Somewhat important,Somewhat important,Extremely important,Extremely important,,,Female,55,IBS
3/1/2013 16:02:35,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Primarily cost because I am feeding a family of 4.,Don't care,Somewhat important,Extremely important,Extremely important,Somewhat important,Extremely important,,Having an allergen list or allergy menu and a knowledgeable manager or chef.,Extremely important,Don't care,Extremely important,Don't care,,Recipes,F,32,"Me: Gluten sensitivity
Son: Gluten allergy"
3/1/2013 16:02:35,Somewhat important,Extremely important,Extremely important,Somewhat important,Extremely important,How healthy it is.  I also have type 1 diabetes so sugar and carb content is very important.  Just because its gf doesn't mean its healthy..so healthy gf meals are important and I would love to see a place that's serves healthy gf,Somewhat important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Extremely important,,Its important that if companies are going to advertise gluten free menus that the employees not only know what it means to be gluten free but also have the knowledge to actually prepare and serve the food properly. ,Somewhat important,Somewhat important,Extremely important,Don't care,,Written reviews,Female,26,Celiac Disease
3/1/2013 16:04:13,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,think you covered them all!,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Don't care,Somewhat important,,nothing really.,Don't care,Somewhat important,Somewhat important,Don't care,,,female,54,"health issues that caused Gluten Intolerance (researched on my own....not Dr. diagnosed)....after a few weeks eating gluten free the daily headaches went away and the gas, bloat, diarrhea, etc are GONE!"
3/1/2013 16:04:51,Somewhat important,Extremely important,Don't care,,Extremely important,Other allergys ,Don't care,Somewhat important,Don't care,,Extremely important,Extremely important,,,Extremely important,Extremely important,Extremely important,Extremely important,,,female,20,
